종목코드,회사명,업종,기업개요,시가총액,마켓타입
282330,BGF리테일,종합 소매업,"동사는 편의점 체인화 사업을 영위하고 있으며, 동사의 종속회사는 물류사업, 식품제조 및 유통 등 동사를 보조하는 업무를 수행함. 가맹본부가 자신의 상표, 서비스표, 상호, 영업표지 등을 제공하고 경영활동에 대한 지원, 교육과 통제를 하고 있음. 가맹점사업자는 가맹본부의 품질기준, 영업방식이나 시스템을 사용하여 점포를 책임 운영하여 상품을 판매하는 방식으로 운영됨.",18390,KOSPI
004840,DRB동일,고무제품 제조업,"동사는 자동차 고무 부품(창고무), 토목건축자재, 면진제진시스템 등을 제공하는 종합고무부품을 영위. 동력 전달에 널리 쓰이는 전동벨트 및 운반라인의 효율성을 극대화 시킬 수 있는 컨베어벨트를 생산하는 산업용 고무제품부문과 의료기기 등을 생산하는 기타부문을 영위함. 자동차, 시멘트, 기계, 건설, 철강 등 실 수요처에 대한 직접영업과 대리점을 통한 유통영업을 병행하고 있음.",909,KOSPI
017940,E1,기타 전문 도매업,"액화 석유 가스(LPG) 유통회사로서 LPG의 수출입, 저장, 운송, 판매 및 부동산 임대업 등을 영위하고 있음. 국내·외 주요 거점별로 10개 판매거점을 구축하여 글로벌 시장 공략을 위한 글로벌 네트워크를 확보하고 있음. 국내 사업장으로는 서울, 부산, 광주, 대구, 대전, 강원에 지사를 갖추고 있으며, 해외 사업장으로는 싱가포르, 휴스턴, 중동, 베트남 등에 지사를 배치하여 유기적 네트워크를 구축하고 있음.",4891,KOSPI
294870,HDC현대산업개발,건물 건설업,"동사는 현대산업개발의 사업 중 건설사업, PC사업업, 호텔 및 콘도 사업부문을 인적분할의 방식으로 분할하여 2018년 5월 설립되었음. 종합건설회사인 동사는 도급방식의 건설공사를 수행하고 있을 뿐만 아니라 수익성을 제고시킬 수 있는 개발형 건설 사업까지 아우름. 사업부문은 건설부문(자체공사, 외주주택, 일반건축, 토목 등)와 기타부문(PC사업, 호텔 및 콘도, 주거용건물 개발, 공급)으로 구성됨.",12569,KOSPI
443060,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업","동사는 2016년 11월 28일 현대중공업㈜의 조선, 엔진, 전기전자 사업부의 AS사업을 양수하는 현물출자에 의하여 설립되었음. 주요 사업으로는 선박부품/서비스의 공급, HD현대그룹 건조 선박의 유/무상보증 대행으로 구성되는 'AM(After Market) 솔루션', 인도 선박 출항유 공급 및 운항 연료 제공 서비스를 제공함. AM솔루션 외에도 벙커링, 친환경개조, SDV 등의 서비스를 제공함.",65253,KOSPI
092230,KPX홀딩스,기초 화학물질 제조업,"동사는 KPX케미칼, 진양산업, KPX개발, KPX글로벌, 진양AMC, 진양물산, KPX CHEMICAL(NANJING) 등을 주요 종속회사로 두고 있는 지주회사임. 종속회사들이 영위하는 사업은 PPG부문, 자동차부품부문, 부동산임대부문, 지주부문 등이 있음. 주요 종속회사들의 성장동인 확보, 경영효율 제고, 지배구조 개선 등의 기대효과를 목표로 지주회사 전환을 실시함.",2260,KOSPI
051910,LG화학,기초 화학물질 제조업,"동사는 석유화학 사업부문, 전지 사업부문, 첨단소재 사업부문, 생명과학 사업부문, 공통 및 기타부문의 사업을 영위하고 있음. 연결회사는 2020년 12월 1일 전지 사업부문을 단순·물적분할하여 (주)LG에너지솔루션 및 그 종속기업을 설립함. 동사는 양극재, 엔지니어링 소재, IT소재의 경쟁력을 바탕으로 고부가 제품을 중심으로 한 포트폴리오 전환을 추진 중에 있음.",204365,KOSPI
035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","2013년 한게임 사업부문을 인적분할하여, 존속법인은 네이버, 신설법인은 구)엔에이치엔엔터테인먼트로 하였음. 국내 1위 인터넷 검색 포털 네이버서비스를 기반으로 광고, 커머스, 핀테크 사업을 영위하고 있으며, 국내 최대 IDC를 보유한 기업으로서 클라우드를 비롯한 다양한 IT 인프라 및 기업향 솔루션 제공을 확대하고 있음. 인공지능, 로보틱스 등 미래 기술에 대한 지속적인 연구개발을 통해 기술플랫폼의 변화와 혁신을 추구하고 있음.",306777,KOSPI
005940,NH투자증권,금융 지원 서비스업,"2014년 12월 우리투자증권과 NH농협증권의 합병으로 탄생한 증권사로서 투자매매, 투자중개, 투자자문, 신탁 등을 주요 사업으로 영위함. IB부문의 높은 경쟁력을 보유하고 있으며, 금융지주 내 타 계열사와의 시너지를 활용할 수 있다는 강점을 보유함. 해외사업에서는 업계 최고 수준의 네트워크(현지법인 7개, 사무소 1개)를 보유하고 있으며, 글로벌 비즈니스 플랫폼 구축을 목표로 해외상품소싱과 新시장 영업기반 확대를 추진하고 있음.",43786,KOSPI
010060,OCI홀딩스,기타 금융업,"동사는 지주회사로 전환되어 자회사 지분의 관리 및 투자를 목적으로 하는 역할을 수행함. 2023년 인적분할로 OCI홀딩스를 출범하고 2024년 1월 자회사 OCI현물출자 등의 일련의 과정을 거쳐 지주회사 체제 전환을 마무리 지었음. 영업수익은 자회사 및 기타 투자회사들로부터 받는 배당수익과 경영자문수수료수익, OCI 브랜드 사용자에게 수취하는 브랜드수수료수익, 임대수익 등으로 구성됨.",11266,KOSPI
001380,SG글로벌,자동차 신품 부품 제조업,"동사 및 종속회사가 영위하는 사업은 크게 시트봉제사업 및 시트사업으로 분류하고 있음. 시트봉제사업에는 (주)SG글로벌(예산공장), Choongnam Vietnam Textile 회사가 있으며 자동차시트커버(Seat Trim Cover) 제조 및 판매를 영위. 시트사업에는 (주)SG글로벌(인천공장)이 있으며 자동차시트(Car Seat) 제조 및 판매를 영위하고 있음.",1605,KOSPI
034730,SK,기타 금융업,"1991년 설립, 2009년 유가증권 상장. 2015년 8월 (구)SK를 흡수합병하고 사명을 SK C&C에서 SK로 변경함. SK그룹의 지주사임. 주요 사업은 별도 재무제표 기준으로 자회사의 제반사업 내용을 관리하는 지주사업 및 IT서비스 등을 영위하는 사업부문으로 구분됨. 연결대상 종속회사는 SK이노베이션, SK텔레콤, SK네트웍스, SKC, SK바이오팜, SK스퀘어, 인크로스 등 총 667개사임.",100489,KOSPI
003570,SNT다이내믹스,자동차 신품 부품 제조업,"지배회사인 동사는 운수장비사업과 기계사업, 산업설비사업으로 구분되며 운수장비사업은 방위산업제품(방산용 변속기 및 총화포 등), 차량부품(변속기, 차축 등)으로 구분됨. 기계사업은 공작기계, 산업설비사업은 공랭식열교환기로 구분되어 있으며, 다년간 축적된 기술과 경험으로 우수한 제품을 생산 공급하고 있음. 운수장비 및 기계부문에서 판매방법은 내수판매와 로컬수출, 직수출, 대리점 판매로 이루어짐.",7864,KOSPI
005610,SPC삼립,기타 식품 제조업,"동사는 1945년 상미당을 설립하고 1968년 삼립식품공업주식회사로 법인 전환한 후, 제과 및 식품 판매유통사업을 영위하며 종합식품기업으로 발돋움함. 빵, 샌드위치, 케이크류 등을 제조/판매하는 Bakery사업부문, 밀가루, 계란, 육가공품, 신선식품 제조/판매 및 직영점/휴게소를 운영하는 Food사업이 있음. 또한 식재료 및 관련 식자재 유통 및 단체급식을 제공하는 유통사업부문, 그 외 물류 사업 등의 기타사업부문으로 구성됨.",3961,KOSPI
077970,STX엔진,일반 목적용 기계 제조업,"동사는 2004년 STX에서 디젤엔진 등 사업부문을 인적분할하여 설립됨. 이후 STX그룹으로부터 계열분리되었음. 민수사업, 특수사업, 전자통신사업의 3개 사업부문으로 구분되며 각각의 사업부문은 선박용 엔진과 산업용 발전기 엔진 전차, 자주포 등의 엔진, 전파탐지장비, 군위성통신 전투체계 등을 공급함. 주요 매출처로는 방위사업청, 한화에어로스페이스, 현대로템, 한화오션 등이 있음.",4717,KOSPI
009450,경동나비엔,가정용 기기 제조업,"동사는 본사를 거점으로 한국 및 해외 법인 등 동종업종을 영위하는 종속회사로 구성된 생활환경 에너지 전문 기업임. 본사는 가스보일러, 기름보일러 및 가스온수기 등 국내외 제품 제조 및 판매를 담당하고 있음. 에너지기기의 핵심부품인 열교환기, 버너 등을 개발, 생산하고 있는 경동에버런, 플라스틱 및 고무 제품을 생산하고 있는 경동폴리움 등 총 12개의 종속회사로 구성됨.",12354,KOSPI
